id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2023-312875";"2023-06-29";"1";"Vente";"569000.0";"50.0";"None";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0207";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"42.0";"2.0";"S";"sols";"None";"None";"86.0";"3.053143";"50.629808";"000RV"
"2023-312875";"2023-06-29";"1";"Vente";"569000.0";"50.0";"None";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0207";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"38.0";"2.0";"S";"sols";"None";"None";"86.0";"3.053143";"50.629808";"000RV"
"2023-312875";"2023-06-29";"1";"Vente";"569000.0";"50.0";"None";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0207";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"38.0";"2.0";"S";"sols";"None";"None";"86.0";"3.053143";"50.629808";"000RV"
"2023-312875";"2023-06-29";"1";"Vente";"569000.0";"50.0";"None";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0207";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"2";"Appartement";"38.0";"1.0";"S";"sols";"None";"None";"86.0";"3.053143";"50.629808";"000RV"
"2023-312875";"2023-06-29";"1";"Vente";"569000.0";"50.0";"None";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0207";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"3";"Dépendance";"nan";"0.0";"S";"sols";"None";"None";"86.0";"3.053143";"50.629808";"000RV"
"2023-313010";"2023-06-23";"1";"Vente";"215000.0";"75.0";"B";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0425";"None";"None";"3";"51.6";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"53.0";"2.0";"None";"None";"None";"None";"nan";"3.05202";"50.629263";"000RV"
"2023-311383";"2023-06-20";"1";"Vente";"138000.0";"54.0";"None";"RUE RATISBONNE";"7399";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0209";"None";"None";"3";"33.14";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"36.0";"2.0";"None";"None";"None";"None";"nan";"3.052972";"50.629808";"000RV"
"2023-311516";"2023-06-09";"1";"Vente";"389000.0";"1.0";"None";"PAV DEGOUL 13 RUE MEUREIN";"2226";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0414";"None";"None";"None";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"0";"1";"Maison";"80.0";"5.0";"S";"sols";"None";"None";"64.0";"3.052768";"50.629233";"000RV"
"2023-309711";"2023-05-23";"1";"Vente";"28000.0";"70.0";"None";"RUE ALPHONSE MERCIER";"0219";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0492";"None";"None";"68";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"3.052827";"50.629891";"000RV"
"2023-309186";"2023-05-11";"1";"Vente";"130000.0";"5.0";"None";"RUE FRANKLIN";"3587";"59800";"59350";"Lille";"59";"None";"None";"59350000RV0492";"None";"None";"97";"49.69";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"50.0";"2.0";"None";"None";"None";"None";"nan";"3.052827";"50.629891";"000RV"
