id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2021-1130214;2021-01-06;1;Vente;470400.00;16;;"RUE CALLIET";1175;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AL0245;;;116;;206;;;;;;;;2;2;Appartement;72.00;3;;;;;;4.8330690;45.7732540;000AL
2021-1130214;2021-01-06;1;Vente;470400.00;16;;"RUE CALLIET";1175;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AL0245;;;170;;;;;;;;;;1;3;Dépendance;;0;;;;;;4.8330690;45.7732540;000AL
2021-1130215;2021-01-08;1;Vente;391000.00;41;;"RUE BURDEAU";1155;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0104;;;46;61.65;9;;;;;;;;2;2;Appartement;61.00;2;;;;;;4.8354350;45.7707650;000AO
2021-1130218;2021-01-12;1;Vente;482850.00;34;;"RUE DU BON-PASTEUR";0980;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AK0029;;;11;76.74;18;;25;;;;;;3;2;Appartement;82.00;4;;;;;;4.8303110;45.7721380;000AK
2021-1130241;2021-01-15;1;Vente;395610.00;3;;"RUE ROMARIN";6115;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0096;;;7;57.12;;;;;;;;;1;2;Appartement;65.00;2;;;;;;4.8356610;45.7692570;000AR
2021-1130249;2021-01-08;1;Vente;188000.00;10;;"RUE DIDEROT";2185;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0092;;;127;35.44;;;;;;;;;1;2;Appartement;41.00;1;;;;;;4.8341930;45.7718730;000AO
2021-1130255;2021-01-08;1;Vente;1400000.00;7;;"RUE PUITS GAILLOT";5855;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AS0009;;;29;;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";96.00;0;;;;;;4.8348460;45.7681950;000AS
2021-1130255;2021-01-08;1;Vente;1400000.00;7;;"RUE PUITS GAILLOT";5855;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AS0009;;;56;;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";246.00;0;;;;;;4.8348460;45.7681950;000AS
2021-1130255;2021-01-08;1;Vente;1400000.00;7;;"RUE PUITS GAILLOT";5855;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AS0009;;;28;;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";183.00;0;;;;;;4.8348460;45.7681950;000AS
2021-1130255;2021-01-08;1;Vente;1400000.00;7;;"RUE PUITS GAILLOT";5855;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AS0009;;;2;557.00;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";82.00;0;;;;;;4.8348460;45.7681950;000AS
2021-1130261;2021-01-15;1;Vente;256000.00;7;;"RUE DIDEROT";2185;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0054;;;13;;9;40.30;;;;;;;2;2;Appartement;50.00;2;;;;;;4.8339120;45.7721380;000AO
2021-1130281;2021-01-19;1;Vente;434600.00;25;;"RUE IMBERT COLOMES";3600;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0080;;;20;79.32;21;;;;;;;;2;2;Appartement;90.00;4;;;;;;4.8341480;45.7716670;000AO
2021-1130291;2021-01-21;1;Vente;625200.00;3;;"GR GDE RUE DES FEUILLANTS";2745;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0126;;;33;103.07;;;;;;;;;1;2;Appartement;110.00;4;;;;;;4.8370580;45.7702590;000AR
